X,Words,Point_Mean,Frequency,Point_STD,Price_Mean,Price_STD
56,Aromas,87.79781421,183,2.60126673,30.92349727,24.44245642
57,As,90.19148936,47,3.033424653,62.17021277,54.27479163
58,Asian,89.56756757,37,2.784286668,34.45945946,19.61517921
59,At,89.47058824,34,3.53540786,116.5294118,290.3615547
60,Baked,89.94117647,17,3.24943434,50.05882353,38.24014675
61,Balanced,88.13333333,15,2.29492193,31.06666667,27.85797313
62,Barolo,91.65,20,2.476733842,72.2,20.05938552
63,Best,90.26086957,46,2.507187735,45.15217391,44.72134335
64,Big,89.61290323,31,2.800921507,49.03225806,36.06797644
65,Black,89.72727273,44,2.880274828,67.02272727,162.0026541
66,Blackberry,89.5,22,2.241385626,28.90909091,17.96268378
67,Blanc,87.36842105,133,2.544970334,20.67669173,11.43661642
68,Blended,89.28571429,14,1.938618518,35.14285714,19.0822396
69,Bordeaux,89.15217391,46,3.162048501,42.02173913,25.96449638
70,Bordeaux-style,88.125,16,2.704933764,35.625,19.07485256
71,Bright,89.51612903,31,2.885261025,39.83870968,34.01479754
72,Briny,86.45454545,11,2.161649202,19.27272727,10.3642743
73,Brunello,91.45,20,2.645253943,73.9,27.525873
74,But,88.22891566,83,3.22462061,39.06024096,33.50331232
75,Cab,88.8372093,86,3.051944279,42.20930233,26.71730714
76,Cabernet,88.98613861,505,3.095985294,51.62970297,105.5811746
77,California,89.29787234,47,3.519602828,40.23404255,33.14737367
78,CarmeníÂre,87.76923077,26,2.196500714,24,16.68772004
79,Champagne,89.64705882,17,2.177761938,54.17647059,19.37858126
80,Chard,86.56,25,2.310844002,18.96,8.899812732
81,Chardonnay,88.12244898,196,2.939615555,28.7755102,17.16677209
82,Chenin,87.22222222,18,1.628985811,19.77777778,7.215632992
83,Cherry,87.07142857,14,2.615465416,23.35714286,16.69457371
84,Chianti,88.75,12,3.018879985,27,17.04539394
85,Chilean,87.73333333,15,2.218965868,19.13333333,12.49495136
86,Chí¢teau,89.1875,16,3.187867626,43,65.10299532
87,Classico,89.26666667,15,2.520393015,26.2,8.562376172
88,Clean,87.53846154,13,2.569545505,23.69230769,22.14115555
89,Coast,90.07692308,13,3.475186769,38.61538462,20.38193016
90,Coming,89.47368421,19,3.238113666,37.73684211,17.23640239
91,Complex,91.23076923,13,1.3634421,44,28.98850347
92,Concentrated,90.61538462,13,2.844247456,45.07692308,25.44425783
93,County,88.41666667,12,3.476108936,31,19.83568868
94,Creamy,89.07692308,13,2.752621128,28.76923077,18.26724686
95,Creek,90.45454545,11,3.474583036,45.27272727,36.56252428
96,Crisp,87.81632653,49,2.611460873,26.10204082,18.72970557
97,Cru,91.75,12,2.340357393,73,56.0746256
98,Dark,89.47619048,42,3.179492943,37.35714286,24.0718654
99,Deep,91.54545455,11,2.659459959,45.81818182,42.08281878
100,Delicate,87.73684211,19,2.104020101,24.10526316,17.32017044
101,Delicious,89.06666667,30,2.420221325,30.53333333,13.66276928
102,Dense,89.23076923,13,2.976402923,46.84615385,32.65181504
103,Despite,88.04,25,2.936551265,32.72,17.8571181
104,Douro,89.65217391,23,2.723779053,38.34782609,30.3878096
105,Dr,89.91666667,12,1.975225342,45.58333333,20.57561811
106,Dried,88.85714286,14,2.957575485,43.64285714,26.94326559
107,Drink,89.19169719,819,3.162065715,40.96825397,42.70426498
108,Dry,87.58730159,63,2.803424868,30.20634921,23.35087118
109,Dusty,88.25,24,4.035171458,68.16666667,154.321986
110,Earthy,88.2,45,2.880972058,33.31111111,22.13370755
111,Easy,87.38461538,13,2.844247456,30.61538462,21.20353139
112,Enjoy,88.39285714,28,2.096545407,34.28571429,31.13037952
113,Feels,86.125,32,3.180079123,22.40625,13.03063233
114,Fine,89.36363636,11,1.689540013,31.27272727,10.70598813
115,Finishes,86.58695652,46,2.654774206,25.56521739,24.87359347
116,Firm,89.81481481,27,3.293782453,39.18518519,28.90573145
117,Flavors,87.6259542,131,2.867150496,29.91603053,28.88972087
118,Floral,89.73333333,15,3.326659987,35.46666667,26.74981086
119,For,88.25581395,43,2.912150435,31.88372093,22.51370937
120,Fragrant,90,11,2.569046516,34.54545455,27.68885565
121,Franc,88.94366197,142,3.096038759,44.45070423,30.70670624
122,French,88.79268293,82,2.900565313,51.23170732,48.56186046
123,Fresh,88.52238806,67,2.607438131,27.23880597,28.57901834
124,From,89.85321101,109,3.078677229,43.91743119,26.47575006
125,Fruity,87.13333333,15,2.445598573,24.33333333,15.76916823
126,Full,90.51428571,35,3.501020259,42.6,27.75014573
127,Full-bodied,89.23529412,17,2.750668368,36.23529412,20.23774139
128,Garnacha,87.04347826,23,3.457248786,26.30434783,18.99864776
129,Gewí_rztraminer,87.81818182,11,2.857207791,21.81818182,8.292384239
130,Give,90.01282051,78,2.853540019,50.17948718,28.83979195
131,Golden,88.92307692,13,2.139374459,28.92307692,10.26694971
132,Good,88.05263158,38,2.448908951,28,22.49564522
133,Grand,92,12,2.796101182,94.5,105.7918196
134,Great,89.38461538,13,2.328750077,24.15384615,11.20153378
135,Grenache,88.95652174,92,2.753271954,34.43478261,23.17790931
136,Grigio,86.2,20,1.196486083,18.65,9.286521075
137,Gris,87.5,20,2.66556995,17.55,6.394693524
138,Grí_ner,87.125,16,2.187083294,20.25,8.489208836
139,Herbal,86.21052632,19,2.123386901,16.36842105,8.851933413
140,Here,88.29411765,17,2.338928865,22.82352941,16.91979349
